LA_Nbhd,Income,Schools,Diversity,Age,Homes,Vets,Asian,Black,Latino,White,Population,Area,Longitude,Latitude
Adams_Normandie,29606,691,0.6,26,0.26,0.05,0.05,0.25,0.62,0.06,31068,0.8,-118.30027,34.03097
Arleta,65649,719,0.4,29,0.29,0.07,0.11,0.02,0.72,0.13,31068,3.1,-118.430015,34.240603
Arlington_Heights,31423,687,0.8,31,0.31,0.05,0.13,0.25,0.57,0.05,22106,1,-118.320109,34.043611
Atwater_Village,53872,762,0.9,34,0.34,0.06,0.2,0.01,0.51,0.22,14888,1.8,-118.265808,34.124908
Baldwin_Hills/Crenshaw,37948,656,0.4,36,0.36,0.1,0.05,0.71,0.17,0.03,30123,3,-118.3667,34.01909
Bel-Air,208861,924,0.2,46,0.46,0.13,0.08,0.01,0.05,0.83,7928,6.6,-118.463558,34.096148
Beverly_Crest,168104,0,0.1,45,0.45,0.1,0.04,0.02,0.03,0.88,10610,7.9,-118.424713,34.112107
Beverly_Grove,63039,791,0.2,38,0.38,0.05,0.05,0.02,0.06,0.82,21417,1.7,-118.372111,34.076009
Beverlywood,105253,872,0.2,39,0.39,0.08,0.07,0.04,0.06,0.8,6080,0.8,-118.395011,34.04161
Boyle_Heights,33235,689,0.1,25,0.25,0.03,0.02,0.01,0.94,0.02,92785,6.5,-118.20537,34.0337
Brentwood,112927,882,0.2,39,0.39,0.08,0.06,0.01,0.05,0.84,31344,15.2,-118.473,34.052
Broadway_Manchester,29897,656,0.5,23,0.23,0.04,0,0.39,0.59,0.01,2347,1.6,-118.27388,33.96153
Canoga_Park,51601,706,0.8,30,0.3,0.06,0.11,0.04,0.51,0.31,53227,4.3,-118.598,34.201
Carthay,71398,762,0.8,37,0.37,0.04,0.09,0.13,0.16,0.58,4866,0.5,-118.369,34.059
Central_Alameda,31559,669,0.1,22,0.22,0.02,0.01,0.13,0.85,0.01,40947,2.2,-118.249,33.998
Century_City,95135,0,0.2,46,0.46,0.12,0.09,0.01,0.04,0.83,5513,0.7,-118.416,34.054
Chatsworth,84549,762,0.6,40,0.4,0.11,0.14,0.02,0.14,0.65,33829,15,-118.602,34.258
Chesterfield_Square,37737,544,0.5,31,0.31,0.07,0.01,0.59,0.37,0.02,6062,0.6,-118.31135,33.99325
Cheviot_Hills,109980,0,0.3,42,0.42,0.11,0.09,0.01,0.09,0.79,5776,1.3,-118.408511,34.04061
Chinatown,22837,784,1,34,0.34,0.04,0.35,0.21,0.32,0.11,20476,0.9,-118.235806,34.063711
Cypress_Park,42615,697,0.2,27,0.27,0.04,0.11,0.01,0.82,0.05,9764,0.7,-118.224306,34.09201
Del_Rey,63317,783,1,35,0.35,0.08,0.14,0.04,0.42,0.36,29895,2.6,-118.423111,33.988811
Downtown,15003,724,1,39,0.39,0.1,0.21,0.22,0.37,0.16,27860,5.8,-118.246707,34.040812
Eagle_Rock,67253,830,1,35,0.35,0.08,0.24,0.02,0.4,0.3,32493,4.3,-118.205906,34.137307
East_Hollywood,29927,772,0.7,31,0.31,0.03,0.16,0.02,0.6,0.18,73967,2.4,-118.295108,34.089509
Echo_Park,37708,755,0.6,30,0.3,0.04,0.19,0.02,0.64,0.13,40455,2.4,-118.258707,34.07901
El_Sereno,45866,739,0.2,28,0.28,0.05,0.11,0.02,0.81,0.05,40954,4.1,-118.174605,34.08011
Elysian_Park,28263,905,0.7,31,0.31,0.04,0.43,0.02,0.48,0.03,2530,1.6,-118.249807,34.08251
Elysian_Valley,49013,813,0.7,31,0.31,0.04,0.26,0.01,0.61,0.1,7387,0.8,-118.241107,34.095009
Encino,78529,899,0.2,42,0.42,0.11,0.05,0.02,0.09,0.8,41905,9.5,-118.49251,34.153717
Exposition_Park,33999,733,0.6,26,0.26,0.06,0.01,0.38,0.56,0.02,31062,1.8,-118.300208,34.018512
Fairfax,65938,734,0.2,33,0.33,0.05,0.05,0.02,0.06,0.85,12490,1.2,-118.35331,34.078209
Florence,29447,680,0.3,23,0.23,0.04,0,0.28,0.7,0,43815,2.8,-118.269507,33.974614
Glassell_Park,50098,723,0.5,30,0.3,0.05,0.17,0.01,0.66,0.14,23467,2.8,-118.236607,34.113209
Gramercy_Park,57983,653,0.1,36,0.36,0.13,0,0.86,0.12,0.01,10047,1.1,-118.305609,34.07131
Granada_Hills,83911,812,0.8,37,0.37,0.11,0.16,0.03,0.21,0.56,50535,15.3,-118.505173,34.291746
Green_Meadows,31347,682,0.5,24,0.24,0.05,0,0.44,0.54,0.01,28381,2.2,-118.261406,33.940944
Hancock_Park,85277,861,0.4,37,0.37,0.06,0.13,0.04,0.09,0.71,9804,1.5,-118.334603,34.072863
Harbor_City,55447,736,1,30,0.3,0.08,0.13,0.11,0.48,0.25,23529,2.6,-118.276768,33.790494
Harbor_Gateway,47849,730,0.9,27,0.27,0.08,0.16,0.16,0.53,0.12,39684,5,-118.291507,33.865898
Harvard_Heights,31173,712,0.5,30,0.3,0.04,0.13,0.16,0.66,0.03,18587,0.8,-118.306025,34.046469
Harvard_Park,37013,0,0.6,28,0.28,0.07,0.01,0.48,0.48,0.01,10297,0.6,-118.304507,33.983113
Highland_Park,45478,744,0.4,28,0.28,0.05,0.11,0.02,0.72,0.11,57566,3.4,-118.192619,34.116994
Historic_South_Central,30882,674,0.1,23,0.23,0.03,0.01,0.1,0.87,0.01,49728,2.6,-118.267476,34.015642
Hollywood,33694,718,0.9,31,0.31,0.05,0.07,0.05,0.42,0.41,77818,3.5,-118.33061,34.094206
Hollywood_Hills,69277,780,0.3,37,0.37,0.08,0.07,0.05,0.09,0.74,21588,7.1,-118.323665,34.120717
Hollywood_Hills_West,108199,961,0.1,41,0.41,0.08,0.04,0.03,0.06,0.85,14860,4.9,-118.367911,34.107708
